question,answer
What are Zubair's preferred meeting times?,Zubair prefers Wednesday or Thursday between 10 AM and 2 PM Eastern Time but can accommodate other times as needed.
How should I prepare for a meeting with Dr. Smith?,"Before the meeting, Zubair prepares a short summary of his project approach and challenges and sends it over for review."
How can I contact Zubair regarding updates or new sections in a report?,"You can reach out to Zubair directly via email to share any updates or new sections from your part of the report, as he is responsive to such requests."
What additional information has been provided by Zubair for his application?,"Zubair has attached previous evaluation forms and feedback reports, a summary of his research experience, and reattached the job description. He also shared his resume and LinkedIn profile link: https://www.linkedin.com/in/zubair-atha/"
How does Zubair respond to invitations for meetings or calls?,Zubair responds promptly to confirm availability and requests calendar invites or Zoom links to lock in the details.
What is Zubair's availability for meetings?,"Zubair prefers meeting times on Tuesday, Wednesday, Thursday between specific time slots such as 2-4 PM ET, 3 PM EST, and 10 AM ET. He suggests checking his calendar and coordinating via a calendar invite."
What are some of the projects Zubair is currently involved in?,"Zubair is actively participating in various projects including a software engineering internship at TechCorp, contributing to an event application form, and working on group presentations with feedback forms. He also engages in discussions about project submissions with Dr. Smith."
Where can I find Zubair's professional profiles?,Zubair maintains a LinkedIn profile (https://www.linkedin.com/in/zubair-atha/) and has a GitHub repository (https://github.com/zubairatha) where he shares his work. He also provides a resume via Google Drive.
How does Zubair respond to feedback?,"Zubair is responsive and appreciative of feedback, such as from Dr. Smith regarding project submissions. He schedules meetings promptly to discuss the feedback further."
Where can I find your LinkedIn profile?,You can view my LinkedIn profile at https://www.linkedin.com/in/zubair-atha/
Can you share your resume and portfolio?,"Sure, here are the links to my resume and portfolio: Resume - https://drive.google.com/file/d/1aiDXhnJCaFSA8-7Vm_CaUliN6clXI5L_/view?usp=sharing Portfolio - https://zubairatha.vercel.app/"
What are the dates and times you're available for a call?,I'm available on Tuesday at 2pm or Thursday at 10am ET. Please let me know if these work for you.
Do you have any GitHub projects?,"Yes, you can find my GitHub page here: https://github.com/zubairatha"
