question,answer
How can I schedule a meeting with Zubair?,Please use my Calendly link https://calendly.com/za2366-columbia/30min to book a time that works best for both of us.
What are Zubair's preferred meeting times?,Zubair prefers Wednesday or Thursday between 10 AM and 2 PM Eastern Time. You can check his availability via Calendly: https://calendly.com/za2366-columbia/30min
What is Zubair's Calendly link?,https://calendly.com/za2366-columbia/30min
Can I see Zubair's Data Science resume?,"Yes, here is the link to Zubair's Data Science resume: https://drive.google.com/file/d/16lp87m0BbAx4uTPcdHGCIDHEdSQtywy0/view?usp=sharing"
Can I see Zubair's Software Engineering resume?,"Yes, here is the link to Zubair's Software Engineering resume: https://drive.google.com/file/d/1NsbClvTx1MgSHhjvdcdpdTppI5MXxtYQ/view?usp=sharing"
What is Zubair's LinkedIn profile?,https://www.linkedin.com/in/zubair-atha/
What is Zubair's GitHub profile?,https://github.com/zubairatha
What is Zubair's portfolio website?,https://zubairatha.vercel.app/
What is Zubair's phone number?,+16463925601
What is Zubair's Zoom meeting link?,"Zoom link: https://us05web.zoom.us/j/5756631049?pwd=2whWm7gb5MHL5GIspFbviES0GQPuyE.1 (Meeting ID: 575 663 1049, Passcode: 4Jp5UP)"
How can I contact Zubair for a call?,"You can reach Zubair by phone at +16463925601 or schedule a meeting via Calendly: https://calendly.com/za2366-columbia/30min"
What is Zubair's availability for meetings?,"Zubair is generally available Monday through Friday, with preference for Wednesday or Thursday between 10 AM and 2 PM Eastern Time. Check his Calendly for real-time availability: https://calendly.com/za2366-columbia/30min"
Can Zubair reschedule meetings?,"Yes, Zubair is flexible with rescheduling. Please reach out via email or use the Calendly link to find an alternative time."
What materials can Zubair share?,"Zubair can share his Data Science resume, Software Engineering resume, LinkedIn profile, GitHub repositories, portfolio, and can provide drafts or reports as needed."
Where can I find Zubair's work samples?,"You can find Zubair's work samples on his portfolio (https://zubairatha.vercel.app/), GitHub (https://github.com/zubairatha), and LinkedIn (https://www.linkedin.com/in/zubair-atha/)"
Does Zubair have both Data Science and Software Engineering resumes?,"Yes, Zubair has two separate resumes: Data Science resume (https://drive.google.com/file/d/16lp87m0BbAx4uTPcdHGCIDHEdSQtywy0/view?usp=sharing) and Software Engineering resume (https://drive.google.com/file/d/1NsbClvTx1MgSHhjvdcdpdTppI5MXxtYQ/view?usp=sharing)"
How does Zubair prefer to communicate?,"Zubair prefers email communication and can schedule calls via Calendly (https://calendly.com/za2366-columbia/30min) or Zoom meetings. Phone contact is also available at +16463925601"
What is Zubair's professional background?,"Zubair is a graduate student with expertise in both Data Science and Software Engineering. You can learn more about his background through his LinkedIn profile (https://www.linkedin.com/in/zubair-atha/) and portfolio (https://zubairatha.vercel.app/)"
Can Zubair provide feedback on documents or drafts?,"Yes, Zubair can review and provide feedback on documents, drafts, proposals, and reports. Please send the materials via email and he will review them thoroughly."
How quickly does Zubair respond to emails?,"Zubair typically responds to emails promptly and is available for discussions. For urgent matters, you can reach him by phone at +16463925601"
What should I include when requesting a meeting with Zubair?,"When requesting a meeting, please mention the purpose and your preferred time. Zubair will confirm availability and can provide his Calendly link (https://calendly.com/za2366-columbia/30min) or Zoom details for scheduling."
Does Zubair accept research or job opportunities?,"Zubair considers opportunities on a case-by-case basis. Please reach out with details, and he will review and respond accordingly. You can share his relevant resume (DS or SWE) based on the opportunity type."

